sku,nome,categoria,cor,tamanho,preco,custo,estoque_minimo,loja,quantidade
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Av. Paulista - SP,6
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Av. Paulista - SP,22
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,M,89.90,32.00,5,Av. Paulista - SP,25
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,G,89.90,32.00,5,Av. Paulista - SP,14
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,GG,89.90,32.00,5,Av. Paulista - SP,7
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Shopping Ibirapuera - SP,5
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Shopping Ibirapuera - SP,20
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,M,89.90,32.00,5,Shopping Ibirapuera - SP,23
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,G,89.90,32.00,5,Shopping Ibirapuera - SP,12
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,GG,89.90,32.00,5,Shopping Ibirapuera - SP,6
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Shopping Eldorado - SP,4
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Shopping Eldorado - SP,18
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,M,89.90,32.00,5,Shopping Eldorado - SP,21
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,G,89.90,32.00,5,Shopping Eldorado - SP,11
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,GG,89.90,32.00,5,Shopping Eldorado - SP,5
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Rua Oscar Freire - SP,3
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Rua Oscar Freire - SP,17
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,M,89.90,32.00,5,Rua Oscar Freire - SP,19
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,G,89.90,32.00,5,Rua Oscar Freire - SP,10
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,GG,89.90,32.00,5,Rua Oscar Freire - SP,4
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Shopping Morumbi - SP,5
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Shopping Morumbi - SP,16
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,M,89.90,32.00,5,Shopping Morumbi - SP,20
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,G,89.90,32.00,5,Shopping Morumbi - SP,9
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,GG,89.90,32.00,5,Shopping Morumbi - SP,3
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Jardins - SP,4
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Jardins - SP,15
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,M,89.90,32.00,5,Jardins - SP,18
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,G,89.90,32.00,5,Jardins - SP,9
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,GG,89.90,32.00,5,Jardins - SP,4
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Shopping Anália Franco - SP,3
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Shopping Anália Franco - SP,14
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,M,89.90,32.00,5,Shopping Anália Franco - SP,16
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,G,89.90,32.00,5,Shopping Anália Franco - SP,8
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,GG,89.90,32.00,5,Shopping Anália Franco - SP,3
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Shopping RioSul - RJ,4
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Shopping RioSul - RJ,15
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,M,89.90,32.00,5,Shopping RioSul - RJ,17
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,G,89.90,32.00,5,Shopping RioSul - RJ,9
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,GG,89.90,32.00,5,Shopping RioSul - RJ,4
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Barra Shopping - RJ,3
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Barra Shopping - RJ,13
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,M,89.90,32.00,5,Barra Shopping - RJ,15
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,G,89.90,32.00,5,Barra Shopping - RJ,8
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,GG,89.90,32.00,5,Barra Shopping - RJ,2
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,PP,89.90,32.00,5,Shopping Curitiba - PR,4
VTX-CAM-001,Camiseta Urban Core,camiseta,preta,P,89.90,32.00,5,Shopping Curitiba - PR,12
